,site_id,building_id_n,site_id_n,primaryspaceusage,sub_primaryspaceusage,sqm,timezone,eui,site_eui,source_eui
1616,Cornell,1436.0,15.0,Manufacturing/industrial,Greenhouse,1050.0,US/Eastern,,,
1617,Cornell,1437.0,15.0,Education,College Laboratory,10360.4,US/Eastern,,,
1618,Cornell,1438.0,15.0,Education,College Classroom,10123.7,US/Eastern,,,
1619,Cornell,1439.0,15.0,Education,College Laboratory,5248.7,US/Eastern,,,
1620,Cornell,1440.0,15.0,Lodging/residential,Hotel,13962.8,US/Eastern,,,
1621,Cornell,1441.0,15.0,Education,College Laboratory,2800.4,US/Eastern,,,
1622,Cornell,1442.0,15.0,Public services,Library,9247.7,US/Eastern,,,
1623,Cornell,1443.0,15.0,Education,College Classroom,3745.0,US/Eastern,,,
1624,Cornell,1444.0,15.0,Entertainment/public assembly,Sports Stadium,1822.7,US/Eastern,,,
1625,Cornell,1445.0,15.0,Education,College Classroom,399.3,US/Eastern,,,
1626,Cornell,1446.0,15.0,Entertainment/public assembly,Gymnasium,1046.6,US/Eastern,,,
1627,Cornell,1447.0,15.0,Lodging/residential,Dormitory,2766.2,US/Eastern,,,
1628,Cornell,1448.0,15.0,Office,Office,8572.3,US/Eastern,,,
